No.,Time,Source,Destination,Protocol,Length,Info,,Time 1,Time 2,Delay,,Delay 1,Delay 2,Jitter
151,9.412136,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.412136,9.415699,0.003563,,0.003563,0,-0.003563
152,9.415699,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.415699,9.415699,0,,0,0,0
153,9.415699,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.415699,9.415699,0,,0,0,0
154,9.415699,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.415699,9.415699,0,,-0.000155,0.000155,0.00031
155,9.415699,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.415699,9.415854,0.000155,,-0.000934,0.001089,0.002023
156,9.415854,192.168.1.40,103.111.138.76,UDP,75,60695  >  443 Len=33,,9.415854,9.416943,0.001089,,0.001089,0,-0.001089
157,9.416943,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.416943,9.416943,0,,0,0,0
158,9.416943,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.416943,9.416943,0,,0,0,0
159,9.416943,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.416943,9.416943,0,,-0.003061,0.003061,0.006122
160,9.416943,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.416943,9.420004,0.003061,,0.003061,0,-0.003061
161,9.420004,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.420004,9.420004,0,,0,0,0
162,9.420004,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.420004,9.420004,0,,0,0,0
163,9.420004,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.420004,9.420004,0,,-0.000156,0.000156,0.000312
164,9.420004,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.420004,9.42016,0.000156,,-0.001506,0.001662,0.003168
165,9.42016,192.168.1.40,103.111.138.76,UDP,75,60695  >  443 Len=33,,9.42016,9.421822,0.001662,,0.001662,0,-0.001662
166,9.421822,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.421822,9.421822,0,,0,0,0
167,9.421822,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.421822,9.421822,0,,0,0,0
168,9.421822,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.421822,9.421822,0,,-0.004317,0.004317,0.008634
169,9.421822,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.421822,9.426139,0.004317,,0.004317,0,-0.004317
170,9.426139,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.426139,9.426139,0,,0,0,0
171,9.426139,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.426139,9.426139,0,,0,0,0
172,9.426139,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.426139,9.426139,0,,-0.000234,0.000234,0.000468
173,9.426139,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.426139,9.426373,0.000234,,-0.001486,0.00172,0.003206
174,9.426373,192.168.1.40,103.111.138.76,UDP,75,60695  >  443 Len=33,,9.426373,9.428093,0.00172,,0.00172,0,-0.00172
175,9.428093,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.428093,9.428093,0,,0,0,0
176,9.428093,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.428093,9.428093,0,,0,0,0
177,9.428093,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.428093,9.428093,0,,0,0,0
178,9.428093,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.428093,9.428093,0,,0,0,0
179,9.428093,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.428093,9.428093,0,,0,0,0
180,9.428093,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.428093,9.428093,0,,0,0,0
